2,41,1,2
6,27,1,2
19,36,1,2
32,9,2,3
61,41,1,2
70,8,1,2
88,9,1,2
100,32,1,2
110,1,0,1
126,22,1,2
127,12,2,1
128,26,1,2
137,16,1,2
154,42,3,2
162,42,1,2
168,12,1,2
170,20,1,2
192,13,1,2
193,35,1,2
194,42,1,2
213,34,1,2
242,22,1,2
256,44,1,2
257,26,1,2
263,3,2,1
273,10,1,2
292,27,1,2
295,39,1,2
298,45,1,2
302,33,1,2
328,45,1,2
337,25,1,2
343,39,1,2
362,26,1,2
371,37,1,2
384,10,1,2
407,27,2,3
413,7,1,2
413,8,1,2
414,26,1,2
420,5,1,2
431,46,1,2
454,23,1,2
466,34,1,2
467,14,1,2
508,30,1,2
522,33,1,2
541,2,1,2
546,23,1,2
547,28,2,1
550,24,1,2
552,47,1,2
564,42,1,2
572,34,1,2
587,15,1,2
617,21,3,2
632,21,1,2
637,24,1,2
640,17,1,2
648,25,1,2
655,6,1,2
658,16,1,2
660,35,1,2
666,34,1,2
673,44,1,2
682,23,1,2
682,27,1,2
686,42,1,2
699,21,1,2
703,9,2,1
711,26,0,1
713,2,1,2
715,16,1,2
723,11,1,2
725,33,1,2
738,33,1,2
759,24,1,2
763,11,0,1
769,32,1,2
803,46,1,2
804,41,1,2
807,27,1,2
818,33,1,2
819,12,1,2
820,21,2,3
841,42,1,2
851,13,1,2
852,28,1,2
870,42,1,2
875,25,1,2
889,44,1,2
898,15,1,2
910,11,2,3
911,10,1,2
916,2,2,3
920,8,1,2
931,10,1,2
934,42,1,2
938,22,3,2
957,11,1,2
959,27,1,2
976,14,1,2
976,36,1,2
1004,10,1,2
1005,7,0,1
1006,5,0,1
1007,27,3,2
1013,39,1,2
1030,30,1,2
1031,15,1,2
1048,45,1,2
1072,13,1,2
1090,23,1,2
1092,44,1,2
1093,17,1,2
1096,20,1,2
1098,26,1,2
1099,47,1,2
1118,18,1,2
1122,32,1,2
1126,15,0,1
1130,26,1,2
1145,26,1,2
1155,11,1,2
1156,23,1,2
1156,35,1,2
1169,17,0,1
1197,36,1,2
1199,8,1,2
1200,26,1,2
1215,25,1,2
1240,12,1,2
1242,10,1,2
1253,27,1,2
1257,22,1,2
1260,44,1,2
1282,3,1,2
1295,31,1,2
1298,21,1,2
1299,9,1,2
1303,39,1,2
1323,30,1,2
1326,47,2,3
1340,9,1,2
1360,41,1,2
1362,45,1,2
1363,13,1,2
1364,8,1,2
1367,5,1,2
1367,22,1,2
1372,46,1,2
1377,20,1,2
1385,14,1,2
1414,34,1,2
1425,18,1,2
1439,14,1,2
1447,37,3,2
1452,35,1,2
1461,24,1,2
1496,5,1,2
1496,47,1,2
1499,2,1,2
1514,11,1,2
1543,24,0,1
1552,44,1,2
1561,5,1,2
1583,10,0,1
1634,35,1,2
1651,23,1,2
1654,7,1,2
1661,0,1,2
1662,10,1,2
1677,40,1,2
1680,46,1,2
1682,2,1,2
1682,8,1,2
1685,8,1,2
1689,36,1,2
1691,16,1,2
1711,7,1,2
1712,30,1,2
1712,37,1,2
1724,15,1,2
1731,27,1,2
1740,28,3,2
1745,1,1,2
1747,32,1,0
1774,30,1,2
1785,10,1,2
1785,45,1,2
1791,22,1,2
1801,7,1,2
1802,44,1,2
1819,14,1,2
1826,46,1,2
1834,20,1,2
1844,47,1,2
1847,14,1,2
1857,30,1,2
1860,47,1,2
1866,10,1,2
1869,42,1,2
1874,22,1,2
1892,41,1,2
1896,8,1,2
1907,5,1,2
1911,8,0,1
1916,10,2,3
1917,23,1,2
1919,15,1,2
1931,3,3,2
1931,32,1,2
1936,14,1,2
1943,22,1,2
1960,10,1,2
1965,27,2,3
1969,24,2,3
1973,35,1,2
1973,42,1,2
1981,27,1,2
1982,3,2,1
1983,15,1,2
1987,9,1,2
2011,22,1,2
2021,11,1,2
2023,44,1,2
2027,5,2,3
2032,11,1,2
2043,24,1,2
2049,39,1,2
2052,36,1,2
2055,44,1,2
2056,32,1,2
2057,21,2,3
2080,40,1,2
2081,26,1,0
