0	1700502381.789127	0	0	1	14	11	13	15	13	12	15	14	14	12	14	0	17	14	13	13	18	13	0	0	12	15	14	15	11	14	12	13	13	0	17	22	12	14	14	64	14	17	0	14	0	14	14	0	21	15	12	17	13	11	12	14	13	11	14	14	14	12	14	0	17	14	13	12	18	13	0	0	12	15	15	14	11	13	11	13	11	0	17	23	12	14	14	64	15	17	0	14	0	12	13	0	21	14	12	16
1	1700502381.8334317	0	1	1	6	6	9	5	8	7	6	64	7	64	7	0	7	64	5	5	9	7	0	0	8	6	10	6	6	4	7	7	9	0	10	6	7	8	9	6	10	6	0	6	0	7	9	0	7	5	10	6	6	6	8	5	9	7	6	64	7	64	8	0	7	64	5	4	8	7	0	0	9	6	11	6	6	5	7	7	10	0	10	6	7	9	9	6	10	6	0	5	0	7	9	0	7	5	10	6
2	1700502381.872153	0	2	1	8	12	12	7	9	10	9	7	8	6	10	0	8	11	11	5	9	9	0	0	11	13	8	11	9	8	9	9	9	0	5	12	12	9	9	11	8	7	0	8	0	9	7	0	8	9	8	9	8	12	12	8	9	10	9	7	8	6	10	0	7	10	11	5	9	9	0	0	11	13	8	11	9	8	8	9	9	0	5	12	13	8	8	11	8	8	0	7	0	9	7	0	8	9	7	9
3	1700502381.9177823	0	3	1	6	13	10	12	12	12	8	7	10	7	6	0	7	15	14	7	8	7	0	0	11	10	5	9	11	6	7	9	8	0	12	6	12	11	11	6	10	6	0	13	0	10	5	0	12	10	8	10	6	13	10	11	12	12	8	8	10	7	6	0	7	14	14	7	7	7	0	0	11	10	5	9	11	6	6	9	8	0	12	6	14	12	10	6	10	6	0	12	0	10	5	0	12	10	8	11
4	1700502381.9591768	0	4	1	5	9	12	14	6	8	9	12	7	6	10	0	9	9	7	7	8	7	0	0	9	10	7	9	11	6	5	10	14	0	6	11	8	7	9	10	9	12	0	6	0	13	10	0	5	10	4	11	5	9	13	14	6	8	10	9	7	6	12	0	16	14	7	7	8	7	0	0	9	10	7	9	14	6	5	10	14	0	6	13	7	7	9	11	10	12	0	6	0	13	9	0	6	10	4	11
5	1700502382.002015	0	5	1	10	12	8	5	12	11	12	6	8	8	11	0	6	9	11	5	10	13	0	0	9	6	4	13	6	13	7	13	12	0	7	12	12	11	15	7	14	8	0	9	0	8	6	0	9	11	8	8	11	12	8	5	13	12	9	8	8	8	14	0	5	8	7	6	13	15	0	0	13	6	4	13	6	8	6	11	12	0	7	10	9	9	15	7	21	7	0	9	0	14	9	0	9	8	8	8
6	1700502382.0438583	0	6	1	13	8	12	12	19	12	12	6	8	8	11	0	11	6	18	9	13	11	0	0	9	12	20	15	14	11	13	10	9	0	13	12	12	13	11	13	9	14	0	9	0	8	9	0	13	12	8	11	12	8	15	11	22	14	12	6	10	7	10	0	27	6	18	10	17	14	0	0	16	11	15	17	18	8	17	10	9	0	11	9	14	11	11	14	12	17	0	10	0	8	9	0	19	10	9	11
7	1700502382.0874832	0	7	1	9	10	11	10	4	12	7	12	13	13	12	0	13	5	13	7	8	9	0	0	13	14	11	5	17	6	5	12	9	0	10	14	13	6	9	7	10	9	0	10	0	14	10	0	9	3	11	10	9	10	9	10	4	12	7	14	26	14	25	0	11	5	13	6	7	9	0	0	17	15	12	7	15	6	6	8	13	0	8	10	7	7	15	7	20	7	0	11	0	16	13	0	13	3	11	8
8	1700502382.131266	0	8	1	12	13	8	11	11	9	9	9	12	13	11	0	10	8	6	11	13	18	0	0	8	9	9	12	14	17	13	14	14	0	13	15	17	15	13	9	12	15	0	12	0	13	10	0	11	11	8	10	17	13	9	17	18	9	20	13	33	22	20	0	16	8	6	21	19	22	0	0	8	20	10	13	11	22	12	18	18	0	16	28	14	16	19	9	10	18	0	28	0	24	8	0	9	22	10	11
9	1700502382.1716807	0	9	1	9	14	13	14	13	10	14	9	11	7	6	0	10	9	5	8	11	12	0	0	11	13	13	14	11	12	18	9	18	0	6	10	13	13	10	11	14	9	0	13	0	15	17	0	9	9	14	9	12	16	10	16	31	21	23	9	10	6	7	0	29	12	5	8	11	13	0	0	13	25	7	25	22	12	14	10	19	0	5	8	27	17	8	22	25	23	0	14	0	33	18	0	30	16	28	21
