18000	1682262636.5804243	0	1	2	3	4	5	6	7	0	1	2	3	4	5	6	7
18001	1682262637.918121	1	2	3	4	5	6	7	0	1	2	3	4	5	6	7	0
18002	1682262641.3509407	2	3	4	5	6	7	0	1	2	3	4	5	6	7	0	1
18003	1682262664.8764882	3	4	5	6	7	0	1	2	3	4	5	6	7	0	1	2
18004	1682262666.3929355	4	5	6	7	0	1	2	3	4	5	6	7	0	1	2	3
18005	1682262666.7629285	5	6	7	0	1	2	3	4	5	6	7	0	1	2	3	4
18006	1682262668.334716	6	7	0	1	2	3	4	5	6	7	0	1	2	3	4	5
18007	1682262669.506126	7	0	1	2	3	4	5	6	7	0	1	2	3	4	5	6
18008	1682262671.2668703	0	1	2	3	4	5	6	7	0	1	2	3	4	6	6	7
18009	1682262679.6811106	1	2	3	4	5	7	7	0	1	2	3	4	5	6	7	0
18010	1682262682.6198308	2	3	4	5	6	7	0	1	2	3	4	5	6	7	0	1
18011	1682262683.1336458	3	4	5	6	7	0	1	2	3	4	5	6	7	0	1	2
18012	1682262685.3972101	4	5	6	7	0	1	2	3	4	5	6	7	0	1	2	3
18013	1682262686.6128373	5	6	7	0	1	2	3	4	5	6	7	0	1	2	3	4
18014	1682262687.3561575	6	7	0	1	2	3	4	5	6	7	0	1	2	3	4	5
18015	1682262689.0114095	7	0	1	2	3	4	5	6	7	0	1	2	3	4	5	6
18016	1682262689.5693562	0	1	2	3	4	5	6	7	0	1	2	3	4	5	6	7
18017	1682262690.9222462	1	2	3	4	5	6	7	0	1	2	3	4	5	6	7	0
18018	1682262696.3653555	2	3	4	5	6	7	0	1	2	3	4	5	6	7	0	1
18019	1682262698.183532	3	4	5	6	7	0	1	2	3	4	5	6	7	0	1	2
18020	1682262698.9850888	4	5	6	7	0	1	2	3	4	5	6	7	0	1	2	3
18021	1682262701.620563	5	6	7	0	1	2	3	4	5	6	7	0	1	2	3	4
18022	1682262702.7367992	6	7	0	1	2	3	4	5	6	7	0	1	2	3	4	5
18023	1682262704.0917099	7	0	1	2	3	4	5	6	7	0	1	2	3	4	5	7
18024	1682262707.5879834	0	1	2	3	4	5	6	7	0	1	2	3	4	5	6	7
18025	1682262713.1872532	0	2	3	4	5	6	7	0	1	2	3	4	5	6	7	0
18026	1682262717.1718197	2	3	4	5	6	7	0	1	2	3	4	5	6	7	0	1
18027	1682262719.0502384	3	4	5	6	7	0	1	2	3	4	5	6	7	0	1	2
18028	1682262720.4805532	4	5	6	7	0	1	2	3	4	5	6	7	0	1	2	3
18029	1682262721.1454082	5	6	7	0	1	2	3	4	5	6	7	0	1	2	3	4
18030	1682262724.125805	6	7	0	1	2	3	4	5	6	7	0	1	2	3	4	5
18031	1682262728.0514913	7	0	1	2	3	4	5	6	7	0	1	2	3	4	5	6
18032	1682262730.2048686	0	1	2	3	4	5	6	7	0	1	2	3	4	5	6	7
18033	1682262732.4428074	1	2	3	4	5	7	7	0	1	2	3	4	5	6	7	0
18034	1682262738.4371896	2	3	4	5	7	7	0	1	2	3	4	5	7	7	0	1
18035	1682262741.4989333	3	4	5	6	7	0	1	2	3	4	5	6	7	0	1	2
18036	1682262741.9027154	4	5	6	7	0	1	2	3	4	5	6	7	0	1	2	3
18037	1682262743.1601248	5	6	7	0	1	2	3	4	5	6	7	0	1	2	3	4
18038	1682262744.0992556	6	7	0	1	2	3	4	5	7	7	0	1	2	3	4	5
18039	1682262744.8171017	7	0	1	2	3	4	5	6	7	0	1	2	3	4	5	6
18040	1682262745.6604617	0	1	2	3	4	5	6	7	0	1	2	3	4	5	6	7
