bpc,allocation,read_bounds,confmat,bw,ber,cer,is_pba
1,"((2, 35), (50, 63))","[0, 41, 64]","[[1443    9]
 [   0 1408]]",304121.6256107272,0.003146853146853147,0.0031468531468531458,True
1,"((2, 35), (50, 63))","[0, 41, 64]","[[1443    9]
 [   0 1408]]",304121.6256107272,0.003146853146853147,0.0031468531468531458,True
1,"((2, 35), (51, 63))","[0, 42, 64]","[[1443    9]
 [   0 1408]]",303955.52347775776,0.003146853146853147,0.0031468531468531458,True
1,"((2, 35), (51, 63))","[0, 42, 64]","[[1443    9]
 [   0 1408]]",303955.52347775776,0.003146853146853147,0.0031468531468531458,True
1,"((2, 35), (52, 63))","[0, 42, 64]","[[1443    9]
 [   0 1408]]",303804.6789085184,0.003146853146853147,0.0031468531468531458,True
1,"((2, 35), (52, 63))","[0, 42, 64]","[[1443    9]
 [   0 1408]]",303804.6789085184,0.003146853146853147,0.0031468531468531458,True
1,"((2, 35), (54, 63))","[0, 43, 64]","[[1443    9]
 [   0 1408]]",303473.3472952148,0.003146853146853147,0.0031468531468531458,True
1,"((2, 35), (54, 63))","[0, 43, 64]","[[1443    9]
 [   0 1408]]",303473.3472952148,0.003146853146853147,0.0031468531468531458,True
1,"((2, 35), (57, 63))","[0, 45, 64]","[[1443    9]
 [   0 1408]]",302827.8268948964,0.003146853146853147,0.0031468531468531458,True
1,"((2, 35), (57, 63))","[0, 45, 64]","[[1443    9]
 [   0 1408]]",302827.8268948964,0.003146853146853147,0.0031468531468531458,True
1,"((2, 35), (60, 63))","[0, 46, 64]","[[1443    9]
 [   0 1408]]",302207.4234706563,0.003146853146853147,0.0031468531468531458,True
1,"((2, 35), (60, 63))","[0, 46, 64]","[[1443    9]
 [   0 1408]]",302207.4234706563,0.003146853146853147,0.0031468531468531458,True
1,"((2, 35), (61, 63))","[0, 47, 64]","[[1443    9]
 [   0 1408]]",302177.5887101188,0.003146853146853147,0.0031468531468531458,True
1,"((2, 35), (61, 63))","[0, 47, 64]","[[1443    9]
 [   0 1408]]",302177.5887101188,0.003146853146853147,0.0031468531468531458,True
1,"((2, 35), (62, 63))","[0, 47, 64]","[[1443    9]
 [   0 1408]]",301991.2548365787,0.003146853146853147,0.0031468531468531458,True
1,"((2, 35), (62, 63))","[0, 47, 64]","[[1443    9]
 [   0 1408]]",301991.2548365787,0.003146853146853147,0.0031468531468531458,True
1,"((2, 35), (63, 63))","[0, 48, 64]","[[1443    9]
 [   0 1408]]",301738.2092437329,0.003146853146853147,0.0031468531468531458,True
1,"((2, 35), (63, 63))","[0, 48, 64]","[[1443    9]
 [   0 1408]]",301738.2092437329,0.003146853146853147,0.0031468531468531458,True
1,"((2, 35), (47, 63))","[0, 39, 64]","[[1443    9]
 [   1 1407]]",304401.38897546666,0.0034965034965034965,0.0034965034965035446,True
1,"((2, 35), (47, 63))","[0, 39, 64]","[[1443    9]
 [   1 1407]]",304401.38897546666,0.0034965034965034965,0.0034965034965035446,True
1,"((2, 35), (49, 63))","[0, 41, 64]","[[1443    9]
 [   1 1407]]",276903.6222651752,0.0034965034965034965,0.0034965034965035446,True
1,"((2, 35), (49, 63))","[0, 41, 64]","[[1443    9]
 [   1 1407]]",276903.6222651752,0.0034965034965034965,0.0034965034965035446,True
1,"((2, 35), (56, 63))","[0, 44, 64]","[[1443    9]
 [   1 1407]]",276154.14814715536,0.0034965034965034965,0.0034965034965035446,True
1,"((2, 35), (56, 63))","[0, 44, 64]","[[1443    9]
 [   1 1407]]",276154.14814715536,0.0034965034965034965,0.0034965034965035446,True
1,"((2, 35), (59, 63))","[0, 46, 64]","[[1443    9]
 [   1 1407]]",275594.69963015895,0.0034965034965034965,0.0034965034965035446,True
