,bpc,allocation,read_bounds,confmat,bw,ber,cer
1650,2,"((0, 10), (34, 39), (52, 55), (62, 63))","[0, 11, 42, 55, 64]","[[3027    0    0    0]
 [   4 3029    1    0]
 [   0    0 3071    0]
 [   0    0    0 3071]]",28784609.303855866,0.00020486765549455053,0.00040973531098909
1636,2,"((0, 10), (33, 37), (52, 55), (62, 63))","[0, 10, 41, 55, 64]","[[3027    0    0    0]
 [   5 3029    0    0]
 [   0    0 3071    0]
 [   0    0    0 3071]]",27519300.025056753,0.00020486765549455053,0.00040973531098909
2080,2,"((0, 10), (40, 45), (53, 56), (63, 63))","[0, 16, 45, 56, 64]","[[3027    0    0    0]
 [   0 3033    1    0]
 [   0    3 3068    0]
 [   0    0    1 3070]]",20343699.61689547,0.00020486765549455053,0.00040973531098909
2028,2,"((0, 10), (37, 42), (53, 56), (63, 63))","[0, 14, 44, 56, 64]","[[3027    0    0    0]
 [   3 3030    1    0]
 [   0    0 3071    0]
 [   0    0    1 3070]]",19177577.410833076,0.00020486765549455053,0.00040973531098909
3185,2,"((0, 16), (39, 43), (52, 55), (63, 63))","[0, 18, 44, 56, 64]","[[3025    1    0    0]
 [   0 3033    1    0]
 [   0    2 3069    0]
 [   0    0    1 3070]]",21464356.831723258,0.00020488444517292246,0.00040976889034582964
1054,2,"((0, 8), (36, 43), (52, 55), (62, 63))","[0, 13, 43, 55, 64]","[[3014    0    0    3]
 [   0 3033    1    0]
 [   0    1 3070    0]
 [   0    0    0 3071]]",25109961.40240639,0.00020503567620766013,0.000410071352415331
1091,2,"((0, 8), (39, 43), (53, 56), (62, 63))","[0, 15, 44, 56, 64]","[[3014    0    0    3]
 [   0 3033    1    0]
 [   0    0 3071    0]
 [   0    0    1 3070]]",22451995.690213248,0.00020503567620766013,0.000410071352415331
1420,2,"((0, 8), (39, 43), (53, 56), (63, 63))","[0, 15, 44, 56, 64]","[[3014    0    0    3]
 [   0 3033    1    0]
 [   0    0 3071    0]
 [   0    0    1 3070]]",12189761.608982041,0.00020503567620766013,0.000410071352415331
2324,2,"((0, 12), (40, 45), (53, 57), (62, 63))","[0, 17, 45, 56, 64]","[[3028    0    0    0]
 [   0 3033    1    0]
 [   0    3 3031    0]
 [   0    0    1 3070]]",37902996.39024927,0.0002054738226349963,0.00041094764526994343
2290,2,"((0, 12), (37, 43), (53, 57), (62, 63))","[0, 15, 44, 56, 64]","[[3028    0    0    0]
 [   3 3031    0    0]
 [   0    1 3033    0]
 [   0    0    1 3070]]",37788131.30015167,0.0002054738226349963,0.00041094764526994343
2743,2,"((0, 14), (39, 43), (53, 57), (62, 63))","[0, 17, 44, 56, 64]","[[3026    0    0    2]
 [   0 3033    1    0]
 [   0    1 3033    0]
 [   0    0    1 3070]]",28091609.120168258,0.0002054738226349963,0.00041094764526994343
2564,2,"((0, 12), (40, 45), (53, 57), (63, 63))","[0, 17, 45, 56, 64]","[[3028    0    0    0]
 [   0 3033    1    0]
 [   0    3 3031    0]
 [   0    0    1 3070]]",27640762.30901806,0.0002054738226349963,0.00041094764526994343
2522,2,"((0, 12), (37, 43), (53, 57), (63, 63))","[0, 15, 44, 56, 64]","[[3028    0    0    0]
 [   3 3031    0    0]
 [   0    1 3033    0]
 [   0    0    1 3070]]",27525897.21892046,0.0002054738226349963,0.00041094764526994343
2932,2,"((0, 14), (39, 43), (53, 57), (63, 63))","[0, 17, 44, 56, 64]","[[3026    0    0    2]
 [   0 3033    1    0]
 [   0    1 3033    0]
 [   0    0    1 3070]]",17829375.03893705,0.0002054738226349963,0.00041094764526994343
1646,2,"((0, 10), (33, 45), (53, 57), (62, 63))","[0, 11, 44, 56, 64]","[[3027    0    0    0]
 [   3 3031    0    0]
 [   0    1 3033    0]
 [   0    0    1 3070]]",34199764.590887,0.00020549071181982575,0.00041098142363960033
1768,2,"((0, 10), (40, 45), (53, 57), (62, 63))","[0, 16, 45, 56, 64]","[[3027    0    0    0]
 [   0 3033    1    0]
 [   0    3 3031    0]
 [   0    0    1 3070]]",32765401.514418855,0.00020549071181982575,0.00041098142363960033
1906,2,"((0, 10), (33, 45), (53, 57), (63, 63))","[0, 11, 44, 56, 64]","[[3027    0    0    0]
 [   3 3031    0    0]
 [   0    1 3033    0]
 [   0    0    1 3070]]",23937530.509655796,0.00020549071181982575,0.00041098142363960033
