,bpc,allocation,read_bounds,confmat,bw,ber,cer
2017,2,"((0, 10), (36, 43), (53, 57), (63, 63))","[0, 13, 44, 56, 64]","[[3027    0    0    0]
 [   0 3034    0    0]
 [   0    1 3033    0]
 [   0    0    1 3070]]",23172029.718720503,8.21962847279303e-05,0.00016439256945588454
2305,2,"((0, 12), (39, 43), (52, 55), (62, 63))","[0, 17, 44, 55, 64]","[[3028    0    0    0]
 [   0 3033    1    0]
 [   0    2 3069    0]
 [   0    0    0 3071]]",34013347.49646628,0.00012291052114060964,0.0002458210422812135
2496,2,"((0, 12), (36, 43), (52, 55), (63, 63))","[0, 14, 43, 56, 64]","[[3028    0    0    0]
 [   0 3033    1    0]
 [   0    1 3070    0]
 [   0    0    1 3070]]",26279617.95284348,0.00012291052114060964,0.0002458210422812135
1708,2,"((0, 10), (36, 42), (52, 55), (62, 63))","[0, 11, 43, 55, 64]","[[3027    0    0    0]
 [   2 3032    0    0]
 [   0    1 3070    0]
 [   0    0    0 3071]]",29957594.448063076,0.00012292059329673032,0.0002458411865934318
1711,2,"((0, 10), (36, 42), (53, 56), (62, 63))","[0, 11, 43, 56, 64]","[[3027    0    0    0]
 [   2 3032    0    0]
 [   0    0 3071    0]
 [   0    0    1 3070]]",29828133.273478337,0.00012292059329673032,0.0002458411865934318
1749,2,"((0, 10), (39, 43), (52, 55), (62, 63))","[0, 16, 44, 55, 64]","[[3027    0    0    0]
 [   0 3033    1    0]
 [   0    2 3069    0]
 [   0    0    0 3071]]",28875752.620635867,0.00012292059329673032,0.0002458411865934318
2013,2,"((0, 10), (36, 43), (52, 55), (63, 63))","[0, 13, 43, 56, 64]","[[3027    0    0    0]
 [   0 3033    1    0]
 [   0    1 3070    0]
 [   0    0    1 3070]]",21142023.077013064,0.00012292059329673032,0.0002458411865934318
2006,2,"((0, 10), (36, 42), (53, 56), (63, 63))","[0, 11, 43, 56, 64]","[[3027    0    0    0]
 [   2 3032    0    0]
 [   0    0 3071    0]
 [   0    0    1 3070]]",19565899.192247126,0.00012292059329673032,0.0002458411865934318
3063,2,"((0, 16), (39, 43), (53, 56), (62, 63))","[0, 18, 44, 56, 64]","[[3025    1    0    0]
 [   0 3033    1    0]
 [   0    0 3071    0]
 [   0    0    1 3070]]",31597129.738369726,0.0001229306671037535,0.0002458613342074534
3188,2,"((0, 16), (39, 43), (53, 56), (63, 63))","[0, 18, 44, 56, 64]","[[3025    1    0    0]
 [   0 3033    1    0]
 [   0    0 3071    0]
 [   0    0    1 3070]]",21334895.65713852,0.0001229306671037535,0.0002458613342074534
2309,2,"((0, 12), (39, 43), (53, 57), (62, 63))","[0, 17, 44, 56, 64]","[[3028    0    0    0]
 [   0 3033    1    0]
 [   0    1 3033    0]
 [   0    0    1 3070]]",36043354.138173714,0.0001232842935809978,0.00024656858716198826
2546,2,"((0, 12), (39, 43), (53, 57), (63, 63))","[0, 17, 44, 56, 64]","[[3028    0    0    0]
 [   0 3033    1    0]
 [   0    1 3033    0]
 [   0    0    1 3070]]",25781120.05694251,0.0001232842935809978,0.00024656858716198826
1734,2,"((0, 10), (37, 43), (53, 57), (62, 63))","[0, 14, 44, 56, 64]","[[3027    0    0    0]
 [   1 3033    0    0]
 [   0    1 3033    0]
 [   0    0    1 3070]]",32650536.424321257,0.00012329442709189543,0.0002465888541838268
1753,2,"((0, 10), (39, 43), (53, 57), (62, 63))","[0, 16, 44, 56, 64]","[[3027    0    0    0]
 [   0 3033    1    0]
 [   0    1 3033    0]
 [   0    0    1 3070]]",30905759.262343306,0.00012329442709189543,0.0002465888541838268
2039,2,"((0, 10), (37, 43), (53, 57), (63, 63))","[0, 14, 44, 56, 64]","[[3027    0    0    0]
 [   1 3033    0    0]
 [   0    1 3033    0]
 [   0    0    1 3070]]",22388302.343090046,0.00012329442709189543,0.0002465888541838268
2063,2,"((0, 10), (39, 43), (53, 57), (63, 63))","[0, 16, 44, 56, 64]","[[3027    0    0    0]
 [   0 3033    1    0]
 [   0    1 3033    0]
 [   0    0    1 3070]]",20643525.1811121,0.00012329442709189543,0.0002465888541838268
2157,2,"((0, 12), (36, 43), (52, 55), (61, 63))","[0, 14, 43, 54, 64]","[[3028    0    0    0]
 [   0 3033    1    0]
 [   0    1 3069    1]
 [   0    0    1 3070]]",38076111.90223126,0.00016388069485414618,0.00032776138970824764
2289,2,"((0, 12), (37, 43), (53, 56), (62, 63))","[0, 15, 44, 56, 64]","[[3028    0    0    0]
 [   3 3031    0    0]
 [   0    0 3071    0]
 [   0    0    1 3070]]",35628663.483859494,0.00016388069485414618,0.00032776138970824764
2742,2,"((0, 14), (39, 43), (53, 56), (62, 63))","[0, 17, 44, 56, 64]","[[3026    0    0    2]
 [   0 3033    1    0]
 [   0    0 3071    0]
 [   0    0    1 3070]]",25932141.30387608,0.00016388069485414618,0.00032776138970824764
2521,2,"((0, 12), (37, 43), (53, 56), (63, 63))","[0, 15, 44, 56, 64]","[[3028    0    0    0]
 [   3 3031    0    0]
 [   0    0 3071    0]
 [   0    0    1 3070]]",25366429.402628284,0.00016388069485414618,0.00032776138970824764
2542,2,"((0, 12), (39, 43), (52, 55), (63, 63))","[0, 17, 44, 56, 64]","[[3028    0    0    0]
 [   0 3033    1    0]
 [   0    2 3069    0]
 [   0    0    1 3070]]",23751113.415235072,0.00016388069485414618,0.00032776138970824764
2931,2,"((0, 14), (39, 43), (53, 56), (63, 63))","[0, 17, 44, 56, 64]","[[3026    0    0    2]
 [   0 3033    1    0]
 [   0    0 3071    0]
 [   0    0    1 3070]]",15669907.222644873,0.00016388069485414618,0.00032776138970824764
1549,2,"((0, 10), (36, 43), (52, 55), (61, 63))","[0, 13, 43, 54, 64]","[[3027    0    0    0]
 [   0 3033    1    0]
 [   0    1 3069    1]
 [   0    0    1 3070]]",32938517.02640085,0.00016389412439564042,0.0003277882487913164
1645,2,"((0, 10), (33, 45), (53, 56), (62, 63))","[0, 11, 44, 56, 64]","[[3027    0    0    0]
 [   3 3031    0    0]
 [   0    0 3071    0]
 [   0    0    1 3070]]",32040296.77459483,0.00016389412439564042,0.0003277882487913164
1905,2,"((0, 10), (33, 45), (53, 56), (63, 63))","[0, 11, 44, 56, 64]","[[3027    0    0    0]
 [   3 3031    0    0]
 [   0    0 3071    0]
 [   0    0    1 3070]]",21778062.693363618,0.00016389412439564042,0.0003277882487913164
2003,2,"((0, 10), (36, 42), (52, 55), (63, 63))","[0, 11, 43, 56, 64]","[[3027    0    0    0]
 [   2 3032    0    0]
 [   0    1 3070    0]
 [   0    0    1 3070]]",19695360.366831865,0.00016389412439564042,0.0003277882487913164
2059,2,"((0, 10), (39, 43), (52, 55), (63, 63))","[0, 16, 44, 56, 64]","[[3027    0    0    0]
 [   0 3033    1    0]
 [   0    2 3069    0]
 [   0    0    1 3070]]",18613518.53940466,0.00016389412439564042,0.0003277882487913164
3060,2,"((0, 16), (39, 43), (52, 55), (62, 63))","[0, 18, 44, 55, 64]","[[3025    1    0    0]
 [   0 3033    1    0]
 [   0    2 3069    0]
 [   0    0    0 3071]]",31726590.912954465,0.00016390755613833797,0.0003278151122766415
1057,2,"((0, 8), (36, 43), (53, 56), (62, 63))","[0, 13, 44, 56, 64]","[[3014    0    0    3]
 [   0 3034    0    0]
 [   0    0 3071    0]
 [   0    0    1 3070]]",24980500.22782165,0.0001640285409661281,0.000328057081932287
1072,2,"((0, 8), (37, 43), (53, 56), (62, 63))","[0, 13, 44, 56, 64]","[[3014    0    0    3]
 [   0 3034    0    0]
 [   0    0 3071    0]
 [   0    0    1 3070]]",24196772.852191195,0.0001640285409661281,0.000328057081932287
1374,2,"((0, 8), (36, 43), (53, 56), (63, 63))","[0, 13, 44, 56, 64]","[[3014    0    0    3]
 [   0 3034    0    0]
 [   0    0 3071    0]
 [   0    0    1 3070]]",14718266.146590445,0.0001640285409661281,0.000328057081932287
1396,2,"((0, 8), (37, 43), (53, 56), (63, 63))","[0, 13, 44, 56, 64]","[[3014    0    0    3]
 [   0 3034    0    0]
 [   0    0 3071    0]
 [   0    0    1 3070]]",13934538.770959988,0.0001640285409661281,0.000328057081932287
1712,2,"((0, 10), (36, 42), (53, 57), (62, 63))","[0, 11, 43, 56, 64]","[[3027    0    0    0]
 [   2 3032    0    0]
 [   0    1 3033    0]
 [   0    0    1 3070]]",31987601.08977051,0.0001643925694558606,0.0003287851389117691
2007,2,"((0, 10), (36, 42), (53, 57), (63, 63))","[0, 11, 43, 56, 64]","[[3027    0    0    0]
 [   2 3032    0    0]
 [   0    1 3033    0]
 [   0    0    1 3070]]",21725367.008539304,0.0001643925694558606,0.0003287851389117691
