bpc,allocation,read_bounds,confmat,bw,ber,cer,is_pba
1,"((2, 21), (33, 63))","[0, 25, 64]","[[1386    0]
 [   0 1344]]",22290180.088345226,0.0,0.0,False
1,"((2, 21), (35, 63))","[0, 26, 64]","[[1386    0]
 [   0 1344]]",22290180.088345226,0.0,0.0,False
1,"((1, 21), (35, 63))","[0, 27, 64]","[[1386    0]
 [   0 1344]]",22206037.728107337,0.0,0.0,False
1,"((3, 21), (35, 63))","[0, 27, 64]","[[1386    0]
 [   0 1344]]",22164204.318579722,0.0,0.0,False
1,"((2, 21), (36, 63))","[0, 28, 64]","[[1386    0]
 [   0 1344]]",22031905.961376995,0.0,0.0,False
1,"((2, 19), (35, 63))","[0, 26, 64]","[[1386    0]
 [   0 1344]]",21875726.310896434,0.0,0.0,False
1,"((1, 23), (38, 63))","[0, 29, 64]","[[1386    0]
 [   0 1344]]",21821205.82120582,0.0,0.0,False
1,"((2, 21), (38, 63))","[0, 27, 64]","[[1386    0]
 [   0 1344]]",21821205.82120582,0.0,0.0,False
1,"((2, 23), (38, 63))","[0, 29, 64]","[[1386    0]
 [   0 1344]]",21821205.82120582,0.0,0.0,False
1,"((0, 19), (33, 63))","[0, 25, 64]","[[1386    0]
 [   0 1344]]",21794678.18417953,0.0,0.0,False
1,"((0, 19), (35, 63))","[0, 26, 64]","[[1386    0]
 [   0 1344]]",21794678.18417953,0.0,0.0,False
1,"((2, 21), (39, 63))","[0, 28, 64]","[[1386    0]
 [   0 1344]]",21779548.472775564,0.0,0.0,False
1,"((2, 20), (35, 63))","[0, 27, 64]","[[1386    0]
 [   0 1344]]",21754378.912884,0.0,0.0,False
1,"((3, 19), (36, 63))","[0, 28, 64]","[[1386    0]
 [   0 1344]]",21746839.385004845,0.0,0.0,False
1,"((1, 21), (38, 63))","[0, 28, 64]","[[1386    0]
 [   0 1344]]",21740560.43605651,0.0,0.0,False
1,"((3, 21), (38, 63))","[0, 28, 64]","[[1386    0]
 [   0 1344]]",21700460.864139054,0.0,0.0,False
1,"((1, 21), (39, 63))","[0, 29, 64]","[[1386    0]
 [   0 1344]]",21699210.13592077,0.0,0.0,False
1,"((3, 21), (39, 63))","[0, 29, 64]","[[1386    0]
 [   0 1344]]",21659262.816664666,0.0,0.0,False
1,"((0, 21), (35, 63))","[0, 27, 64]","[[1386    0]
 [   0 1344]]",21634370.34668159,0.0,0.0,False
1,"((2, 19), (36, 63))","[0, 27, 64]","[[1386    0]
 [   0 1344]]",21626913.75908489,0.0,0.0,False
1,"((3, 18), (33, 63))","[0, 25, 64]","[[1386    0]
 [   0 1344]]",21594661.186868437,0.0,0.0,False
1,"((3, 18), (35, 63))","[0, 26, 64]","[[1386    0]
 [   0 1344]]",21594661.186868437,0.0,0.0,False
1,"((3, 20), (39, 63))","[0, 29, 64]","[[1386    0]
 [   0 1344]]",21579807.80732884,0.0,0.0,False
1,"((0, 19), (36, 63))","[0, 28, 64]","[[1386    0]
 [   0 1344]]",21547695.477551993,0.0,0.0,False
1,"((3, 19), (38, 63))","[0, 27, 64]","[[1386    0]
 [   0 1344]]",21541530.98311595,0.0,0.0,False
1,"((3, 22), (38, 63))","[0, 29, 64]","[[1386    0]
 [   0 1344]]",21529533.74059239,0.0,0.0,False
1,"((2, 20), (36, 63))","[0, 28, 64]","[[1386    0]
 [   0 1344]]",21508303.568323735,0.0,0.0,False
1,"((3, 19), (39, 63))","[0, 28, 64]","[[1386    0]
 [   0 1344]]",21500933.614079695,0.0,0.0,False
1,"((0, 46), (52, 63))","[0, 43, 64]","[[1386    0]
 [   0 1344]]",21451929.36559843,0.0,0.0,False
1,"((2, 17), (31, 63))","[0, 24, 64]","[[1386    0]
 [   0 1344]]",21442155.30903328,0.0,0.0,False
1,"((2, 17), (32, 63))","[0, 24, 64]","[[1386    0]
 [   0 1344]]",21442155.30903328,0.0,0.0,False
1,"((0, 18), (33, 63))","[0, 25, 64]","[[1386    0]
 [   0 1344]]",21437271.61997564,0.0,0.0,False
1,"((0, 18), (35, 63))","[0, 26, 64]","[[1386    0]
 [   0 1344]]",21437271.61997564,0.0,0.0,False
1,"((2, 19), (38, 63))","[0, 27, 64]","[[1386    0]
 [   0 1344]]",21423852.938629586,0.0,0.0,False
1,"((1, 20), (39, 63))","[0, 29, 64]","[[1386    0]
 [   0 1344]]",21383697.498913426,0.0,0.0,False
1,"((2, 19), (39, 63))","[0, 28, 64]","[[1386    0]
 [   0 1344]]",21383697.498913426,0.0,0.0,False
1,"((0, 47), (52, 63))","[0, 43, 64]","[[1386    0]
 [   0 1344]]",21373985.505815446,0.0,0.0,False
1,"((2, 21), (41, 63))","[0, 29, 64]","[[1386    0]
 [   0 1344]]",21371558.885812018,0.0,0.0,False
1,"((2, 23), (41, 63))","[0, 30, 64]","[[1386    0]
 [   0 1344]]",21371558.885812018,0.0,0.0,False
1,"((2, 17), (34, 63))","[0, 24, 64]","[[1386    0]
 [   0 1344]]",21361857.91325199,0.0,0.0,False
1,"((1, 18), (33, 63))","[0, 25, 64]","[[1386    0]
 [   0 1344]]",21359434.046038024,0.0,0.0,False
1,"((1, 18), (35, 63))","[0, 26, 64]","[[1386    0]
 [   0 1344]]",21359434.046038024,0.0,0.0,False
1,"((3, 18), (36, 63))","[0, 27, 64]","[[1386    0]
 [   0 1344]]",21352165.743622113,0.0,0.0,False
1,"((0, 19), (38, 63))","[0, 27, 64]","[[1386    0]
 [   0 1344]]",21346112.602518875,0.0,0.0,False
1,"((2, 20), (38, 63))","[0, 28, 64]","[[1386    0]
 [   0 1344]]",21307453.622478735,0.0,0.0,False
1,"((0, 19), (39, 63))","[0, 28, 64]","[[1386    0]
 [   0 1344]]",21306247.785520256,0.0,0.0,False
1,"((1, 21), (41, 63))","[0, 30, 64]","[[1386    0]
 [   0 1344]]",21294196.918204036,0.0,0.0,False
1,"((2, 22), (41, 63))","[0, 30, 64]","[[1386    0]
 [   0 1344]]",21294196.918204036,0.0,0.0,False
1,"((2, 17), (33, 63))","[0, 24, 64]","[[1386    0]
 [   0 1344]]",21282159.67518359,0.0,0.0,False
1,"((2, 17), (35, 63))","[0, 25, 64]","[[1386    0]
 [   0 1344]]",21282159.67518359,0.0,0.0,False
1,"((2, 20), (39, 63))","[0, 29, 64]","[[1386    0]
 [   0 1344]]",21267732.935120054,0.0,0.0,False
1,"((0, 44), (52, 63))","[0, 43, 64]","[[1386    0]
 [   0 1344]]",21258125.969715416,0.0,0.0,False
1,"((3, 44), (52, 63))","[0, 43, 64]","[[1386    0]
 [   0 1344]]",21258125.969715416,0.0,0.0,False
1,"((3, 21), (41, 63))","[0, 30, 64]","[[1386    0]
 [   0 1344]]",21255725.584340986,0.0,0.0,False
1,"((2, 21), (42, 63))","[0, 29, 64]","[[1386    0]
 [   0 1344]]",21252126.022515588,0.0,0.0,False
1,"((1, 19), (35, 63))","[0, 26, 64]","[[1386    0]
 [   0 1344]]",21243731.78414767,0.0,0.0,False
1,"((0, 35), (49, 63))","[0, 38, 64]","[[1386    0]
 [   0 1344]]",21209026.18062648,0.0,0.0,False
1,"((0, 18), (36, 63))","[0, 27, 64]","[[1386    0]
 [   0 1344]]",21198278.52117331,0.0,0.0,False
1,"((0, 21), (38, 63))","[0, 28, 64]","[[1386    0]
 [   0 1344]]",21192312.304668855,0.0,0.0,False
1,"((3, 20), (41, 63))","[0, 29, 64]","[[1386    0]
 [   0 1344]]",21179198.442475796,0.0,0.0,False
1,"((4, 22), (35, 63))","[0, 27, 64]","[[1386    0]
 [   0 1344]]",21170602.90450345,0.0,0.0,False
1,"((0, 35), (48, 63))","[0, 38, 64]","[[1386    0]
 [   0 1344]]",21169671.277485218,0.0,0.0,False
1,"((3, 18), (38, 63))","[0, 27, 64]","[[1386    0]
 [   0 1344]]",21154207.902046476,0.0,0.0,False
1,"((0, 21), (39, 63))","[0, 29, 64]","[[1386    0]
 [   0 1344]]",21153019.347273793,0.0,0.0,False
1,"((0, 22), (45, 63))","[0, 31, 64]","[[1386    0]
 [   0 1344]]",21134020.6185567,0.0,0.0,False
1,"((0, 23), (45, 63))","[0, 32, 64]","[[1386    0]
 [   0 1344]]",21134020.6185567,0.0,0.0,False
1,"((0, 26), (45, 63))","[0, 33, 64]","[[1386    0]
 [   0 1344]]",21134020.6185567,0.0,0.0,False
1,"((0, 27), (45, 63))","[0, 33, 64]","[[1386    0]
 [   0 1344]]",21134020.6185567,0.0,0.0,False
1,"((0, 28), (45, 63))","[0, 34, 64]","[[1386    0]
 [   0 1344]]",21134020.6185567,0.0,0.0,False
1,"((0, 29), (45, 63))","[0, 35, 64]","[[1386    0]
 [   0 1344]]",21134020.6185567,0.0,0.0,False
1,"((0, 31), (45, 63))","[0, 35, 64]","[[1386    0]
 [   0 1344]]",21134020.6185567,0.0,0.0,False
1,"((1, 22), (45, 63))","[0, 31, 64]","[[1386    0]
 [   0 1344]]",21134020.6185567,0.0,0.0,False
1,"((1, 23), (45, 63))","[0, 32, 64]","[[1386    0]
 [   0 1344]]",21134020.6185567,0.0,0.0,False
1,"((1, 24), (45, 63))","[0, 32, 64]","[[1386    0]
 [   0 1344]]",21134020.6185567,0.0,0.0,False
1,"((1, 25), (45, 63))","[0, 33, 64]","[[1386    0]
 [   0 1344]]",21134020.6185567,0.0,0.0,False
1,"((1, 26), (45, 63))","[0, 33, 64]","[[1386    0]
 [   0 1344]]",21134020.6185567,0.0,0.0,False
1,"((1, 27), (45, 63))","[0, 33, 64]","[[1386    0]
 [   0 1344]]",21134020.6185567,0.0,0.0,False
1,"((1, 30), (45, 63))","[0, 34, 64]","[[1386    0]
 [   0 1344]]",21134020.6185567,0.0,0.0,False
1,"((1, 31), (45, 63))","[0, 35, 64]","[[1386    0]
 [   0 1344]]",21134020.6185567,0.0,0.0,False
1,"((1, 32), (45, 63))","[0, 35, 64]","[[1386    0]
 [   0 1344]]",21134020.6185567,0.0,0.0,False
1,"((2, 21), (43, 63))","[0, 29, 64]","[[1386    0]
 [   0 1344]]",21134020.6185567,0.0,0.0,False
1,"((2, 21), (44, 63))","[0, 29, 64]","[[1386    0]
 [   0 1344]]",21134020.6185567,0.0,0.0,False
1,"((2, 21), (45, 63))","[0, 30, 64]","[[1386    0]
 [   0 1344]]",21134020.6185567,0.0,0.0,False
1,"((2, 21), (46, 63))","[0, 31, 64]","[[1386    0]
 [   0 1344]]",21134020.6185567,0.0,0.0,False
1,"((2, 23), (45, 63))","[0, 31, 64]","[[1386    0]
 [   0 1344]]",21134020.6185567,0.0,0.0,False
1,"((2, 24), (45, 63))","[0, 32, 64]","[[1386    0]
 [   0 1344]]",21134020.6185567,0.0,0.0,False
1,"((2, 26), (45, 63))","[0, 32, 64]","[[1386    0]
 [   0 1344]]",21134020.6185567,0.0,0.0,False
1,"((2, 27), (45, 63))","[0, 33, 64]","[[1386    0]
 [   0 1344]]",21134020.6185567,0.0,0.0,False
1,"((2, 28), (45, 63))","[0, 34, 64]","[[1386    0]
 [   0 1344]]",21134020.6185567,0.0,0.0,False
1,"((2, 29), (45, 63))","[0, 34, 64]","[[1386    0]
 [   0 1344]]",21134020.6185567,0.0,0.0,False
1,"((2, 33), (45, 63))","[0, 35, 64]","[[1386    0]
 [   0 1344]]",21134020.6185567,0.0,0.0,False
1,"((3, 23), (45, 63))","[0, 32, 64]","[[1386    0]
 [   0 1344]]",21134020.6185567,0.0,0.0,False
1,"((3, 26), (45, 63))","[0, 32, 64]","[[1386    0]
 [   0 1344]]",21134020.6185567,0.0,0.0,False
1,"((3, 28), (45, 63))","[0, 33, 64]","[[1386    0]
 [   0 1344]]",21134020.6185567,0.0,0.0,False
1,"((3, 29), (45, 63))","[0, 34, 64]","[[1386    0]
 [   0 1344]]",21134020.6185567,0.0,0.0,False
