18000	1682264465.199146	0	1	2	3	4	5	6	7	0	1	2	3	4	5	6	7
18001	1682264465.5133438	1	2	3	4	5	6	7	0	1	2	3	4	5	6	7	0
18002	1682264466.4838483	2	3	4	5	6	7	0	1	2	3	4	5	6	7	0	1
18003	1682264467.2866414	3	4	5	6	7	0	1	2	3	3	5	6	7	0	1	2
18004	1682264468.4151034	4	5	6	7	0	1	2	3	4	5	6	7	0	1	2	3
18005	1682264468.8875291	5	6	7	0	1	2	3	4	5	6	7	0	1	2	3	4
18006	1682264471.6920834	6	7	0	1	2	3	4	5	6	7	0	1	2	3	4	5
18007	1682264472.0999827	7	0	1	2	3	4	5	6	7	0	1	2	3	4	5	6
18008	1682264473.424656	0	1	2	3	4	5	6	7	0	1	2	3	4	5	6	7
18009	1682264473.927992	1	2	3	4	5	6	7	0	1	2	3	4	5	6	7	0
18010	1682264475.7470288	2	3	4	5	6	7	0	1	2	3	4	5	6	7	0	1
18011	1682264476.6801665	3	4	5	6	7	0	1	2	3	4	5	6	7	0	1	2
18012	1682264476.894051	4	5	6	7	0	1	2	3	4	5	6	7	0	1	2	3
18013	1682264477.5391214	5	6	7	0	1	2	3	4	5	6	7	0	1	2	3	4
18014	1682264479.0687618	6	7	0	1	2	3	4	5	6	7	0	1	2	3	4	5
18015	1682264479.8561766	7	0	1	2	3	4	5	6	7	0	1	2	3	4	5	6
18016	1682264479.9737704	0	1	2	3	4	5	6	7	0	1	2	3	4	5	6	7
18017	1682264480.4951885	1	2	3	4	5	6	7	0	1	2	3	4	5	6	7	0
18018	1682264481.0766833	2	3	4	5	6	7	0	0	2	3	4	5	6	7	0	1
18019	1682264481.641917	3	4	5	6	7	0	1	2	3	4	5	6	7	0	1	2
18020	1682264482.3299663	4	5	6	7	0	1	2	3	4	5	6	7	0	1	2	3
18021	1682264483.1448538	5	6	7	0	1	2	3	4	5	6	7	0	1	2	3	4
18022	1682264483.9643135	6	7	0	1	2	3	4	5	6	7	0	1	2	3	4	5
18023	1682264484.3503077	7	0	1	2	3	4	5	6	7	0	1	2	3	4	5	6
18024	1682264486.406487	0	1	2	3	4	5	6	7	0	1	2	3	4	5	6	7
18025	1682264489.8958528	1	2	3	4	5	6	7	0	1	2	3	4	5	6	7	0
18026	1682264492.6560676	2	3	4	5	6	7	0	1	2	3	4	5	6	7	0	1
18027	1682264493.4992425	3	4	5	6	7	0	1	2	3	4	5	6	7	0	1	2
18028	1682264493.8027754	4	5	6	7	0	1	2	3	4	5	6	7	0	1	2	3
18029	1682264494.3117805	5	6	7	0	1	2	3	4	5	6	7	0	1	2	3	4
18030	1682264496.0820112	6	7	0	1	2	3	4	5	6	7	0	1	2	3	4	5
18031	1682264509.402004	7	0	1	2	3	4	5	6	7	0	1	2	3	4	5	6
18032	1682264510.162181	0	1	2	3	4	5	6	7	0	1	2	3	4	5	6	7
18033	1682264510.3095064	1	2	3	4	5	6	7	0	1	2	3	4	5	6	7	0
18034	1682264511.565921	2	3	4	5	6	7	0	1	2	3	4	5	6	7	0	1
18035	1682264512.2265255	3	4	5	6	7	0	1	2	3	4	5	6	7	0	1	2
18036	1682264513.482575	4	5	6	7	0	1	2	3	4	5	6	7	0	1	2	3
18037	1682264513.797893	5	6	7	0	1	2	3	4	5	6	7	0	1	2	3	4
18038	1682264514.9538991	6	7	0	1	2	3	4	5	6	7	0	1	2	3	4	5
18039	1682264515.5945165	6	0	1	2	3	4	5	6	7	0	1	2	3	4	5	6
18040	1682264515.8617074	0	1	2	3	4	5	6	7	0	1	2	3	4	5	6	7
18041	1682264516.5724804	1	2	3	4	5	6	7	0	1	2	3	4	5	6	7	0
18042	1682264517.427179	2	3	4	5	6	7	0	1	2	3	4	5	6	7	0	1
18043	1682264518.1824222	3	4	5	6	7	0	1	2	3	4	5	6	7	0	1	2
18044	1682264518.7441864	4	5	6	7	0	1	2	3	4	5	6	7	0	1	2	3
18045	1682264519.1453338	5	6	7	0	1	2	3	4	5	6	7	0	1	2	3	4
18046	1682264519.3849466	6	7	0	1	2	3	4	5	6	7	0	1	2	3	4	5
18047	1682264520.0103288	7	0	1	2	3	4	5	6	7	0	1	2	3	4	5	6
18048	1682264523.7830536	0	0	2	3	4	5	6	7	0	1	2	3	4	5	6	7
18049	1682264525.6766253	1	2	3	4	5	6	7	0	2	2	3	4	5	6	7	0
18050	1682264526.0029683	2	3	4	5	6	7	0	1	2	3	4	5	6	7	0	1
18051	1682264526.9324634	3	4	5	6	7	0	2	2	3	4	5	6	7	0	1	2
18052	1682264527.2807283	4	5	6	7	0	1	2	3	4	5	6	7	0	1	2	3
18053	1682264527.783583	5	6	7	0	1	2	3	4	5	6	7	0	1	2	3	4
18054	1682264528.2395325	6	7	0	1	2	3	4	5	6	7	0	1	2	3	4	5
18055	1682264528.9851003	7	0	0	2	3	4	5	6	7	0	1	2	3	4	5	6
18056	1682264529.8003528	0	1	2	3	4	5	6	7	0	1	2	3	4	5	6	7
18057	1682264531.3599453	1	2	3	4	5	6	7	0	1	2	3	4	5	6	7	0
18058	1682264531.5765476	2	3	4	5	6	7	0	1	2	3	4	5	6	7	0	1
18059	1682264531.8576205	3	4	5	6	7	0	1	2	3	4	5	6	7	0	1	2
18060	1682264534.0334165	4	5	6	7	0	1	2	3	4	5	6	7	0	1	2	3
18061	1682264534.265792	5	6	7	0	1	2	3	4	5	6	7	0	1	2	3	4
18062	1682264535.3652534	6	7	0	1	2	3	4	5	6	7	0	1	2	3	4	5
18063	1682264536.56505	7	0	1	2	3	4	5	6	7	0	1	2	3	4	5	6
18064	1682264537.110848	0	1	2	3	4	5	6	7	0	1	2	3	4	5	6	7
18065	1682264537.9044292	1	2	3	4	5	6	7	0	1	2	3	4	5	6	7	0
18066	1682264538.198938	2	4	4	5	6	7	0	1	2	3	4	5	6	7	0	1
18067	1682264539.3396904	3	4	5	6	7	0	1	2	3	4	5	6	7	0	1	2
