18000	1683102610.4360175	0	1	2	3	4	5	6	7	0	1	2	3	4	5	6	7
18001	1683102612.7979834	1	2	3	4	5	6	7	0	1	2	3	4	5	6	7	0
18002	1683102621.0911407	2	3	4	5	6	7	0	1	2	3	4	5	6	7	0	1
18003	1683102636.0158918	3	4	5	6	7	0	1	2	3	4	5	6	7	0	1	2
18004	1683102641.6078525	4	5	6	7	0	1	2	3	4	5	6	7	0	1	2	3
18005	1683102660.2915912	5	6	7	0	1	2	3	4	5	6	7	0	1	2	3	4
18006	1683102676.1257868	6	7	0	1	2	3	4	5	6	7	0	1	2	3	4	5
18007	1683102678.4515944	7	0	1	2	3	4	5	6	7	0	1	2	3	4	5	6
18008	1683102682.2818632	0	1	2	3	4	5	6	7	0	1	2	3	4	5	6	7
18009	1683102683.3701167	1	2	3	4	5	6	7	0	1	2	3	4	5	6	7	0
18010	1683102699.9588275	2	3	4	5	6	7	0	1	2	3	4	5	6	7	0	1
18011	1683102703.7982419	3	4	5	6	7	0	1	2	3	4	5	6	7	0	1	2
18012	1683102712.277397	4	5	6	7	0	1	2	3	4	5	6	7	0	1	2	3
18013	1683102717.7099469	5	6	7	0	1	2	3	4	5	6	7	0	1	2	3	4
18014	1683102720.5881026	6	7	0	1	2	3	4	5	6	7	0	1	2	3	4	5
18015	1683102723.7168868	7	0	1	2	3	4	5	6	7	0	1	2	3	4	5	6
18016	1683102727.807608	0	1	2	3	4	5	6	7	0	1	2	3	4	5	6	7
18017	1683102729.1469343	1	2	3	4	5	6	7	0	1	2	3	4	5	6	7	0
18018	1683102729.32528	2	3	4	5	6	7	0	1	2	3	4	5	6	7	0	1
18019	1683102732.0323694	3	4	5	6	7	0	1	2	3	4	5	6	7	0	1	2
18020	1683102738.092612	4	5	6	7	0	1	2	3	4	5	6	7	0	1	2	3
18021	1683102742.864078	5	6	7	0	1	2	3	4	5	6	7	0	1	2	3	4
18022	1683102745.1230834	6	7	0	1	2	3	4	5	6	7	0	1	2	3	4	5
18023	1683102745.6680138	7	0	1	2	3	4	5	6	7	0	1	2	3	4	5	6
18024	1683102760.182528	0	1	2	3	4	5	6	7	0	1	2	3	4	5	6	7
18025	1683102761.2087777	1	2	3	4	5	6	7	0	1	2	3	4	5	6	7	0
18026	1683102765.2726119	2	3	4	5	6	7	0	1	2	3	4	5	6	7	0	1
18027	1683102765.5187893	3	4	5	6	7	0	1	2	3	4	5	6	7	0	1	2
18028	1683102766.0396929	4	5	6	7	0	1	2	3	4	5	6	7	0	1	2	3
18029	1683102766.957546	5	6	7	0	1	2	3	4	5	6	7	0	1	2	3	4
18030	1683102769.3373263	6	7	0	1	2	3	4	5	6	7	0	1	2	3	4	5
18031	1683102783.9422693	7	0	1	2	3	4	5	6	7	0	1	2	3	4	5	6
18032	1683102799.4963944	0	1	2	3	4	5	6	7	0	1	2	3	4	5	6	7
18033	1683102800.856984	1	2	3	4	5	6	7	0	1	2	3	4	5	6	7	0
18034	1683102804.679704	2	3	4	5	6	7	0	1	2	3	4	5	6	7	0	1
